timestamp,open,high,low,close,volume,turnover
2026-03-12 09:45:00,1.5195,1.5218,1.5106,1.515,131671.7,199710.30818
2026-03-12 10:00:00,1.515,1.5172,1.51,1.5115,133538.6,202046.84906
2026-03-12 10:15:00,1.5115,1.5196,1.5115,1.5181,122255.1,185356.58973
2026-03-12 10:30:00,1.5181,1.5265,1.5173,1.5231,170591.5,259594.24653
2026-03-12 10:45:00,1.5231,1.5242,1.5173,1.5177,129802.9,197318.0505
2026-03-12 11:00:00,1.5177,1.5177,1.5118,1.5125,134815.8,204224.98019
2026-03-12 11:15:00,1.5125,1.5155,1.5061,1.5095,154564.1,233553.87599
2026-03-12 11:30:00,1.5095,1.5131,1.5069,1.5122,171690.9,259252.34085
2026-03-12 11:45:00,1.5122,1.5147,1.5034,1.5061,254725.6,383933.61885
2026-03-12 12:00:00,1.5061,1.5073,1.5,1.5056,238270.7,358295.68086
2026-03-12 12:15:00,1.5056,1.5086,1.5033,1.5057,114652.8,172706.83554
2026-03-12 12:30:00,1.5057,1.5086,1.5031,1.5065,120888.5,182168.74845
2026-03-12 12:45:00,1.5065,1.5098,1.5022,1.5049,141957.4,213794.45279
2026-03-12 13:00:00,1.5049,1.5062,1.4979,1.4983,156553.7,235049.38315
2026-03-12 13:15:00,1.4983,1.5017,1.4912,1.4979,367225.5,549275.56706
2026-03-12 13:30:00,1.4979,1.5047,1.4937,1.497,487180.8,730679.74446
2026-03-12 13:45:00,1.497,1.4994,1.4892,1.4968,392896.9,586632.74023
2026-03-12 14:00:00,1.4968,1.5034,1.4968,1.5019,220708.2,331080.73304
2026-03-12 14:15:00,1.5019,1.5061,1.4872,1.4887,397227.9,593606.94882
2026-03-12 14:30:00,1.4887,1.4895,1.4831,1.4883,349998.1,520159.142
2026-03-12 14:45:00,1.4883,1.4932,1.4848,1.492,287085.1,427947.82806
2026-03-12 15:00:00,1.492,1.4982,1.4903,1.4971,297061.4,443935.92876
2026-03-12 15:15:00,1.4971,1.5076,1.4944,1.5019,403993.3,606444.1996
2026-03-12 15:30:00,1.5019,1.5073,1.4987,1.5036,379597.6,570211.4365
