timestamp,open,high,low,close,volume,turnover
2026-03-12 09:45:00,9.62,9.641,9.561,9.579,28461.1,273174.8697
2026-03-12 10:00:00,9.579,9.59,9.56,9.577,19078.7,182731.3507
2026-03-12 10:15:00,9.577,9.622,9.576,9.619,12330.5,118441.9288
2026-03-12 10:30:00,9.619,9.648,9.592,9.631,61960.1,595925.3521
2026-03-12 10:45:00,9.631,9.637,9.604,9.61,25688.3,247161.3481
2026-03-12 11:00:00,9.61,9.615,9.557,9.562,23390.9,224335.5365
2026-03-12 11:15:00,9.562,9.598,9.558,9.585,22056.8,211366.828
2026-03-12 11:30:00,9.585,9.597,9.574,9.586,31160.7,298726.0346
2026-03-12 11:45:00,9.586,9.602,9.55,9.566,41907.7,401151.4774
2026-03-12 12:00:00,9.566,9.575,9.536,9.562,18291.0,174885.3179
2026-03-12 12:15:00,9.562,9.601,9.555,9.59,25739.5,246701.7744
2026-03-12 12:30:00,9.59,9.602,9.57,9.598,12294.0,117881.8264
2026-03-12 12:45:00,9.598,9.638,9.594,9.609,23077.2,221911.7584
2026-03-12 13:00:00,9.609,9.615,9.584,9.588,16126.9,154843.168
2026-03-12 13:15:00,9.588,9.592,9.531,9.567,31765.0,303650.1554
2026-03-12 13:30:00,9.567,9.635,9.55,9.581,54784.2,526003.2968
2026-03-12 13:45:00,9.581,9.592,9.509,9.561,63817.9,609317.964
2026-03-12 14:00:00,9.561,9.607,9.555,9.581,41264.7,395150.0258
2026-03-12 14:15:00,9.581,9.621,9.515,9.518,59322.8,566972.5898
2026-03-12 14:30:00,9.518,9.524,9.436,9.468,84981.2,805646.0011
2026-03-12 14:45:00,9.468,9.502,9.448,9.493,50880.4,482258.1073
2026-03-12 15:00:00,9.493,9.537,9.481,9.526,52340.3,497674.2053
2026-03-12 15:15:00,9.526,9.609,9.512,9.592,54108.8,517492.3496
2026-03-12 15:30:00,9.592,9.624,9.57,9.598,56764.6,544567.6214
2026-03-12 15:45:00,9.598,9.618,9.562,9.581,58062.0,556657.9014
2026-03-12 16:00:00,9.581,9.607,9.526,9.569,43562.7,416773.2073
2026-03-12 16:15:00,9.569,9.617,9.558,9.558,48406.0,464246.2881
2026-03-12 16:30:00,9.558,9.614,9.551,9.608,26998.7,259105.461
2026-03-12 16:45:00,9.608,9.618,9.577,9.594,22684.3,217793.6307
2026-03-12 17:00:00,9.594,9.609,9.574,9.588,13117.2,125849.2522
2026-03-12 17:15:00,9.588,9.593,9.547,9.557,19744.6,188947.7394
