timestamp,open,high,low,close,volume,turnover
2026-03-22 03:04:00,0.9337,0.9343,0.9337,0.9343,10160,9490.701
2026-03-22 03:05:00,0.9343,0.9345,0.9341,0.9345,6000,5606.166
2026-03-22 03:06:00,0.9345,0.9348,0.9341,0.9344,25700,24010.089
2026-03-22 03:07:00,0.9344,0.9346,0.9343,0.9345,44470,41559.327
2026-03-22 03:08:00,0.9345,0.9351,0.9345,0.9348,19210,17961.105
2026-03-22 03:09:00,0.9348,0.9348,0.9344,0.9347,5140,4804.263
2026-03-22 03:10:00,0.9347,0.936,0.9347,0.9357,11890,11122.331
2026-03-22 03:11:00,0.9357,0.9368,0.9357,0.9362,6270,5872.502
2026-03-22 03:12:00,0.9362,0.9365,0.9362,0.9365,3220,3014.893
2026-03-22 03:13:00,0.9365,0.9365,0.9359,0.9362,17770,16635.277
2026-03-22 03:14:00,0.9362,0.9364,0.936,0.9361,1910,1788.261
2026-03-22 03:15:00,0.9361,0.9372,0.9361,0.9372,2230,2089.156
2026-03-22 03:16:00,0.9372,0.9375,0.9362,0.9362,16830,15769.866
2026-03-22 03:17:00,0.9362,0.9363,0.936,0.9363,9560,8948.537
2026-03-22 03:18:00,0.9363,0.9367,0.9363,0.9367,2550,2388.344
2026-03-22 03:19:00,0.9367,0.9381,0.9367,0.9381,8990,8427.563
2026-03-22 03:20:00,0.9381,0.9384,0.938,0.9381,21370,20048.592
2026-03-22 03:21:00,0.9381,0.9382,0.9373,0.9375,6040,5663.248
2026-03-22 03:22:00,0.9375,0.9379,0.9374,0.9379,10570,9909.352
2026-03-22 03:23:00,0.9379,0.9379,0.9371,0.9373,3080,2887.247
2026-03-22 03:24:00,0.9373,0.9381,0.9373,0.9377,43240,40555.944
2026-03-22 03:25:00,0.9377,0.9382,0.9371,0.9374,52940,49628.493
2026-03-22 03:26:00,0.9374,0.9382,0.9374,0.9378,2780,2607.304
2026-03-22 03:27:00,0.9378,0.9412,0.9378,0.941,94530,88818.23
2026-03-22 03:28:00,0.941,0.9435,0.9409,0.9414,194090,182911.987
2026-03-22 03:29:00,0.9414,0.9429,0.9414,0.9418,34030,32065.708
2026-03-22 03:30:00,0.9418,0.9427,0.9415,0.9416,91680,86363.192
2026-03-22 03:31:00,0.9416,0.9419,0.9409,0.941,23890,22491.113
2026-03-22 03:32:00,0.941,0.941,0.9401,0.9404,8470,7964.06
2026-03-22 03:33:00,0.9404,0.9405,0.9402,0.9402,3920,3686.445
2026-03-22 03:34:00,0.9402,0.9421,0.94,0.9416,65620,61768.523
2026-03-22 03:35:00,0.9416,0.9458,0.9415,0.9448,315050,297501.386
2026-03-22 03:36:00,0.9448,0.9454,0.9417,0.9429,288610,272216.944
2026-03-22 03:37:00,0.9429,0.9444,0.9428,0.9438,33330,31463.929
2026-03-22 03:38:00,0.9438,0.9438,0.9432,0.9433,22130,20878.205
2026-03-22 03:39:00,0.9433,0.9434,0.9426,0.9427,29330,27652.717
2026-03-22 03:40:00,0.9427,0.9427,0.9413,0.9413,11910,11216.681
2026-03-22 03:41:00,0.9413,0.9415,0.9413,0.9414,5640,5309.947
2026-03-22 03:42:00,0.9414,0.9414,0.941,0.941,2890,2719.839
2026-03-22 03:43:00,0.941,0.9413,0.9398,0.9401,31620,29733.151
2026-03-22 03:44:00,0.9401,0.9403,0.94,0.9403,4390,4126.883
2026-03-22 03:45:00,0.9403,0.9404,0.9397,0.94,12040,11318.66
