timestamp,open,high,low,close,volume,turnover
2026-03-22 03:04:00,87.69,87.8,87.69,87.8,5235.9,459388.82
2026-03-22 03:05:00,87.8,87.84,87.76,87.84,2513.2,220598.885
2026-03-22 03:06:00,87.84,87.85,87.8,87.82,1669.9,146645.616
2026-03-22 03:07:00,87.82,87.87,87.82,87.86,4044.6,355336.125
2026-03-22 03:08:00,87.86,87.93,87.86,87.89,2076.1,182507.069
2026-03-22 03:09:00,87.89,87.89,87.85,87.85,1031.9,90678.922
2026-03-22 03:10:00,87.85,87.96,87.85,87.94,4849.9,426363.411
2026-03-22 03:11:00,87.94,88.08,87.94,88.05,20400.7,1796215.631
2026-03-22 03:12:00,88.05,88.07,88.01,88.04,2123.9,186990.287
2026-03-22 03:13:00,88.04,88.05,88.0,88.03,2364.8,208135.551
2026-03-22 03:14:00,88.03,88.05,87.99,88.02,850.6,74863.412
2026-03-22 03:15:00,88.02,88.1,87.98,88.1,8820.3,776128.296
2026-03-22 03:16:00,88.1,88.13,88.04,88.05,1703.7,150064.016
2026-03-22 03:17:00,88.05,88.06,88.01,88.02,1661.9,146288.433
2026-03-22 03:18:00,88.02,88.06,88.02,88.04,1046.2,92116.095
2026-03-22 03:19:00,88.04,88.17,88.04,88.16,2122.6,187100.728
2026-03-22 03:20:00,88.16,88.2,88.15,88.16,825.0,72741.016
2026-03-22 03:21:00,88.16,88.16,88.07,88.1,1277.9,112617.554
2026-03-22 03:22:00,88.1,88.15,88.1,88.14,278.0,24499.743
2026-03-22 03:23:00,88.14,88.15,88.11,88.14,967.3,85260.342
2026-03-22 03:24:00,88.14,88.22,88.14,88.21,6857.1,604568.16
2026-03-22 03:25:00,88.21,88.24,88.17,88.22,1883.8,166176.918
2026-03-22 03:26:00,88.22,88.27,88.19,88.26,1649.8,145545.009
2026-03-22 03:27:00,88.26,88.54,88.23,88.5,17647.6,1560865.079
2026-03-22 03:28:00,88.5,88.74,88.49,88.64,65596.3,5813467.317
2026-03-22 03:29:00,88.64,88.78,88.62,88.66,13638.2,1209984.162
2026-03-22 03:30:00,88.66,88.76,88.62,88.68,12639.3,1121051.91
