timestamp,open,high,low,close,volume,turnover
2026-03-22 03:04:00,8.862,8.868,8.862,8.866,299.9,2659.2664
2026-03-22 03:05:00,8.866,8.867,8.862,8.866,1925.7,17072.9812
2026-03-22 03:06:00,8.866,8.868,8.866,8.868,528.4,4685.4378
2026-03-22 03:07:00,8.868,8.871,8.868,8.871,294.9,2615.8514
2026-03-22 03:08:00,8.871,8.877,8.871,8.873,1648.4,14631.7983
2026-03-22 03:09:00,8.873,8.874,8.873,8.874,384.8,3414.4238
2026-03-22 03:10:00,8.874,8.882,8.874,8.881,732.9,6506.5422
2026-03-22 03:11:00,8.881,8.891,8.881,8.889,1194.6,10618.4725
2026-03-22 03:12:00,8.889,8.892,8.889,8.892,55.2,490.7305
2026-03-22 03:13:00,8.892,8.892,8.89,8.891,359.9,3199.6865
2026-03-22 03:14:00,8.891,8.893,8.889,8.889,643.2,5719.3078
2026-03-22 03:15:00,8.889,8.9,8.889,8.9,855.9,7614.1041
2026-03-22 03:16:00,8.9,8.904,8.893,8.893,1351.7,12029.8922
2026-03-22 03:17:00,8.893,8.893,8.89,8.892,2023.2,17990.3483
2026-03-22 03:18:00,8.892,8.895,8.892,8.893,2451.7,21803.657
2026-03-22 03:19:00,8.893,8.902,8.893,8.901,1684.4,14983.6793
2026-03-22 03:20:00,8.901,8.905,8.901,8.902,127.6,1136.084
2026-03-22 03:21:00,8.902,8.902,8.893,8.894,1811.4,16109.8451
2026-03-22 03:22:00,8.894,8.897,8.894,8.897,110.7,984.7908
2026-03-22 03:23:00,8.897,8.897,8.893,8.894,1017.5,9049.6991
2026-03-22 03:24:00,8.894,8.899,8.894,8.898,5415.1,48177.0961
2026-03-22 03:25:00,8.898,8.902,8.891,8.894,2068.5,18408.428
2026-03-22 03:26:00,8.894,8.904,8.894,8.902,374.8,3335.4996
2026-03-22 03:27:00,8.902,8.932,8.9,8.93,11764.8,104857.8942
2026-03-22 03:28:00,8.93,8.948,8.922,8.928,8243.9,73713.3239
2026-03-22 03:29:00,8.928,8.94,8.924,8.927,2085.3,18617.2816
2026-03-22 03:30:00,8.927,8.939,8.926,8.929,4155.4,37119.4569
2026-03-22 03:31:00,8.929,8.933,8.923,8.926,881.5,7872.3696
